Report runtime: June 11th 242024, 4:42:22 pm,,,,,,The Port Authority of New York and New Jersey
User: aanantharajah,,,,,,,TRN-201 Transaction Research
 
Parameters for this report
Plazas: All,Lanes: All,Lane State: All,Special/Escort: All,Charged Class: All,Tag Class: All,Tag Agency: All,Tag: None,AVC Class: All,Speed: All,Mismatch Flag: All,Plan Type: All,Recon Type: All,Revenue Type: All,Plate State: All,Plate: None,Plate Type: All,Hide/Show Plate Data Column: Hide,Start Date: 06/11/2024,Start Time: 12:00 pm,End Date: 06/11/2024,End Time: 3:00 pm,Recon Code: All,Hot List Reason: All,Transaction Flag: All,Resolution: All,Single Tag Only: No,Flush Converted Only: No,Tag Protocols: All

Transaction Research
,,,,,,,Lane Config,,,,Transaction,,,,,,Tag,,,,,,Class,,,,Axles,,,,,,,,,,Revenue,,,,,,Hot List,,Processing,,,,,ATRN File,,,,,,,Reconciliation,,,,
LT,4,06/11/2024 13:03:13.171, ,6,x,x,O,U,U,Y,1547969250,Norm,N,Y,1,21,-, , , ,-, , , , , , ,N, , ,227,197,561,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:03:14.606, ,6,x,x,O,U,U,Y,1547969259,Norm,N,Y,1,19,-, , , ,-, , , , , , ,N, , ,201,195,567,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:03:15.843, ,6,x,x,O,U,U,Y,1547969269,Norm,N,Y,1,18,-, , , ,-, , , , , , ,N, , ,197,203,572,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:03:29.015,06/11/2024 13:03:28.856,6,x,x,O,U,U,Y,1547967994,Norm,N,Y,1,31,022-09805411,V, ,Y,IAG,25, ,1,72, , ,N,2, ,175,164,449,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:03:32.521,06/11/2024 13:03:32.381,6,x,x,O,U,U,Y,1547968017,Norm,N,Y,1,31,008-10823567,V, ,Y,IAG,11, ,1,72, , ,N,2, ,163,186,485,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:03:34.929,06/11/2024 13:03:34.727,6,x,x,O,U,U,Y,1547968033,Norm,N,Y,1,30,022-08814967,V, ,Y,IAG,22, ,1,72, , ,N,2, ,164,176,482,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:03:38.329,06/11/2024 13:03:38.208,6,x,x,O,U,U,Y,1547968058,Norm,N,Y,1,28,008-16680068,V, ,Y,IAG,16, ,1,72, , ,N,2, ,157,179,477,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:03:39.647,06/11/2024 13:03:39.465,6,x,x,O,U,U,Y,1547968072,Norm,N,Y,1,27,022-10505939,V, ,Y,IAG,24, ,1,72, , ,N,2, ,144,173,397,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:03:42.352,06/11/2024 13:03:42.121,6,x,x,O,U,U,Y,1547968087,Norm,N,Y,1,25,022-16176276,B, ,Y,IAG,29, ,1,72, , ,N,2, ,173,190,489,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:03:43.910, ,6,x,x,O,U,U,Y,1547969503,Norm,N,Y,1,24,-, , , ,-, , , , , , ,N, , ,138,192,498,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:03:45.412,06/11/2024 13:03:45.226,6,x,x,O,U,U,Y,1547968114,Norm,N,Y,1,23,022-11742346,V, ,Y,IAG,22, ,1,72, , ,N,2, ,148,190,503,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:03:46.818,06/11/2024 13:03:46.653,6,x,x,O,U,U,Y,1547968128,Norm,N,Y,1,22,004-09409558,V,C,Y,IAG,35, ,1,72, , ,N,2, ,141,199,493,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:03:49.135, ,6,x,x,O,U,U,Y,1547969538,Norm,N,Y,1,22,-, , , ,-, , , , , , ,N, , ,137,175,477,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:03:51.125, ,6,x,x,O,U,U,Y,1547969556,Norm,N,Y,1,20,-, , , ,-, , , , , , ,N, , ,136,193,475,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:04:01.418,06/11/2024 13:04:01.315,6,x,x,O,U,U,Y,1547968197,Norm,N,Y,1,38,022-15838962,V, ,Y,IAG,23, ,1,72, , ,N,2, ,137,170,473,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:04:19.426,06/11/2024 13:04:19.236,6,x,x,O,U,U,Y,1547968310,Norm,N,Y,1,36,005-03276115,V, ,Y,IAG,16, ,1,72, , ,N,2, ,174,185,498,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:04:25.582,06/11/2024 13:04:25.453,6,x,x,O,U,U,Y,1547968350,Norm,N,Y,1,30,004-11830097,V, ,Y,IAG,25, ,1,72, , ,N,2, ,166,189,490,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:04:34.259,06/11/2024 13:04:34.060,6,x,x,O,U,U,Y,1547968412,Norm,N,Y,1,32,008-16004457,V, ,Y,IAG,11, ,1,72, , ,N,2, ,172,186,522,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:04:38.894,06/11/2024 13:04:38.637,6,x,x,O,U,U,Y,1547968450,Norm,N,Y,1,30,022-09756077,V, ,Y,IAG,22, ,1,200, , ,N,2, ,195,195,588,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:05:00.004,06/11/2024 13:04:59.876,6,x,x,O,U,U,Y,1547968633,Norm,N,Y,1,34,022-10515161,V, ,Y,IAG,20, ,1,72, , ,N,2, ,135,166,472,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:05:02.068,06/11/2024 13:05:01.811,6,x,x,O,U,U,Y,1547968650,Norm,N,Y,1,34,005-04445437,V, ,Y,IAG,12, ,1,72, , ,N,2, ,185,187,601,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:05:03.394,06/11/2024 12:51:05.475,0,x,x,O,U,U,Y,1547967245,Spur,N,Y,1,0,008-11351753,B,S,N,IAG,22, ,1,72, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:05:03.394,06/11/2024 12:51:10.161,0,x,x,O,U,U,Y,1547967246,Spur,N,Y,1,0,022-12587897,V, ,N,IAG,41, ,1,264, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:05:03.394,06/11/2024 12:51:12.015,0,x,x,O,U,U,Y,1547967247,Spur,N,Y,1,0,022-15789637,V, ,N,IAG,40, ,1,72, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:05:03.394,06/11/2024 12:51:40.030,0,x,x,O,U,U,Y,1547967248,Spur,N,Y,1,0,008-16628113,V, ,N,IAG,17, ,1,72, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:05:03.394,06/11/2024 12:52:58.035,0,x,x,O,U,U,Y,1547967249,Spur,N,Y,1,0,004-07646253,V, ,N,IAG,22, ,1,72, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:05:03.395,06/11/2024 12:53:17.310,0,x,x,O,U,U,Y,1547967250,Spur,N,Y,1,0,008-12501600,V,C,N,IAG,38, ,1,72, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:05:03.395,06/11/2024 12:54:11.015,0,x,x,O,U,U,Y,1547967251,Spur,N,Y,1,0,008-13564328,V,C,N,IAG,8, ,1,72, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:05:03.395,06/11/2024 12:56:20.923,0,x,x,O,U,U,Y,1547967253,Spur,N,Y,1,0,022-15974317,V, ,N,IAG,36, ,1,72, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:05:03.395,06/11/2024 12:56:23.659,0,x,x,O,U,U,Y,1547967254,Spur,N,Y,1,0,005-03161260,V, ,N,IAG,34, ,8,328, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:05:03.395,06/11/2024 12:56:25.697,0,x,x,O,U,U,Y,1547967256,Spur,N,Y,1,0,008-09366198,V, ,N,IAG,21, ,1,72, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:05:03.395,06/11/2024 12:56:29.894,0,x,x,O,U,U,Y,1547967258,Spur,N,Y,1,0,036-07298715,V, ,N,SeGO,30, ,1,8, , ,N, , ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:05:03.395,06/11/2024 12:56:38.306,0,x,x,O,U,U,Y,1547967260,Spur,N,Y,1,0,004-12807867,V, ,N,IAG,40, ,1,266, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:05:03.395,06/11/2024 12:57:59.541,0,x,x,O,U,U,Y,1547967263,Spur,N,Y,1,0,022-12226265,V, ,N,IAG,15, ,1,72, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:05:16.873,06/11/2024 13:05:16.724,6,x,x,O,U,U,Y,1547968759,Norm,N,Y,1,37,008-08708883,V, ,Y,IAG,20, ,1,72, , ,N,2, ,141,160,466,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:05:21.551,06/11/2024 13:05:21.417,6,x,x,O,U,U,Y,1547968815,Norm,N,Y,1,27,005-04330508,V, ,Y,IAG,30, ,1,72, , ,N,2, ,137,184,468,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:05:23.468,06/11/2024 13:05:23.227,6,x,x,O,U,U,Y,1547968825,Norm,N,Y,1,26,008-12911042,V, ,Y,IAG,26, ,1,72, , ,N,2, ,164,177,475,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:05:25.298, ,6,x,x,O,U,U,Y,1547970532,Norm,N,Y,1,25,-, , , ,-, , , , , , ,N, , ,205,197,619,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:05:27.730,06/11/2024 13:05:27.574,6,x,x,O,U,U,Y,1547968850,Norm,N,Y,1,24,022-15507757,V, ,Y,IAG,35, ,1,72, , ,N,2, ,159,198,480,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:05:58.042,06/11/2024 13:05:57.819,6,x,x,O,U,U,Y,1547969032,Norm,N,Y,1,31,005-04835224,V, ,Y,IAG,20, ,1,72, , ,N,2, ,177,175,626,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:06:00.001, ,6,x,x,O,U,U,Y,1547970834,Norm,N,Y,1,29,-, , , ,-, , , , , , ,N, , ,243,187,595,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:06:02.553, ,6,x,x,O,U,U,Y,1547970910,Norm,N,Y,1,23,-, , , ,-, , , , , , ,N, , ,163,192,530,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:06:08.650,06/11/2024 13:06:08.545,6,x,x,O,U,U,Y,1547969217,Norm,N,Y,1,27,008-13453672,V, ,Y,IAG,21, ,1,72, , ,N,2, ,143,173,367,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:06:11.691,06/11/2024 13:06:11.495,6,x,x,O,U,U,Y,1547969235,Norm,N,Y,1,26,008-11653649,V,C,Y,IAG,21, ,1,72, , ,N,2, ,168,183,516,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:06:14.694, ,6,x,x,O,U,U,Y,1547970992,Norm,N,Y,1,27,-, , , ,-, , , , , , ,N, , ,166,190,502,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:06:16.974,06/11/2024 13:06:16.829,6,x,x,O,U,U,Y,1547969266,Norm,N,Y,1,27,022-13755425,V, ,Y,IAG,34, ,1,72, , ,N,2, ,141,185,520,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:06:18.577,06/11/2024 13:06:18.462,6,x,x,O,U,U,Y,1547969276,Norm,N,Y,1,24,022-16403052,V, ,Y,IAG,18, ,1,264, , ,N,2, ,178,199,488,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:06:20.279,06/11/2024 13:06:20.066,6,x,x,O,U,U,Y,1547969293,Norm,N,Y,1,25,022-11913139,I,C,N,IAG,26, ,1,72, , ,N,2, ,170,183,492,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:06:22.254, ,6,x,x,O,U,U,Y,1547971049,Norm,N,Y,1,25,-, , , ,-, , , , , , ,N, , ,173,192,570,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:06:26.144,06/11/2024 13:06:26.003,6,x,x,O,U,U,Y,1547969328,Norm,N,Y,1,27,022-15152599,I, ,N,IAG,25, ,1,72, , ,N,2, ,163,179,485,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:06:29.933,06/11/2024 13:06:29.667,6,x,x,O,U,U,Y,1547969367,Norm,N,Y,1,23,008-09595313,V, ,Y,IAG,37, ,1,72, , ,N,2, ,181,189,596,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:06:31.481,06/11/2024 13:06:31.182,6,x,x,O,U,U,Y,1547969379,Norm,N,Y,1,23,022-11353069,V, ,Y,IAG,29, ,1,72, , ,N,2, ,186,199,593,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:06:34.439,06/11/2024 13:06:34.213,6,x,x,O,U,U,Y,1547969402,Norm,N,Y,1,23,004-11317347,V, ,Y,IAG,29, ,1,72, , ,N,2, ,171,194,508,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:06:35.896,06/11/2024 13:06:35.706,6,x,x,O,U,U,Y,1547969427,Norm,N,Y,1,21,008-08934297,V,S,Y,IAG,32, ,1,72, , ,N,2, ,163,182,521,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:06:38.935, ,6,x,x,O,U,U,Y,1547971286,Norm,N,Y,1,24,-, , , ,-, , , , , , ,N, , ,184,232,668,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:06:42.460, ,6,x,x,O,U,U,Y,1547971324,Norm,N,Y,1,21,-, , , ,-, , , , , , ,N, , ,200,190,557,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:06:44.745,06/11/2024 13:06:44.447,6,x,x,O,U,U,Y,1547969509,Norm,N,Y,1,20,008-12678539,V, ,Y,IAG,36, ,1,72, , ,N,2, ,156,177,495,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:06:53.242,06/11/2024 13:06:52.921,6,x,x,O,U,U,Y,1547969625,Norm,N,Y,1,21,005-03843478,V, ,Y,IAG,26, ,1,72, , ,N,2, ,187,203,577,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:06:55.963, ,6,x,x,O,U,U,Y,1547971467,Norm,N,Y,1,18,-, , , ,-, , , , , , ,Y, , ,312,292,905,0,4,4, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:06:58.410,06/11/2024 13:06:58.152,6,x,x,O,U,U,Y,1547969936,Norm,N,Y,1,17,022-11705936,B,SC,Y,IAG,49, ,1,72, , ,N,2, ,178,168,502,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:07:01.456,06/11/2024 13:07:01.331,6,x,x,O,U,U,Y,1547969945,Norm,N,Y,1,22,008-09536127,I, ,N,IAG,11, ,1,72, , ,N,2, ,162,185,516,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:07:03.375, ,6,x,x,O,U,U,Y,1547971515,Norm,N,Y,1,21,-, , , ,-, , , , , , ,N, , ,139,172,506,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:07:06.117, ,6,x,x,O,U,U,Y,1547971536,Norm,N,Y,1,21,-, , , ,-, , , , , , ,N, , ,228,210,562,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:07:30.832,06/11/2024 13:07:30.618,6,x,x,O,U,U,Y,1547970160,Norm,N,Y,1,28,005-03016633,V, ,Y,IAG,26, ,1,72, , ,N,2, ,179,180,477,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:07:33.389,06/11/2024 13:07:33.274,6,x,x,O,U,U,Y,1547970168,Norm,N,Y,1,33,005-04056851,V, ,Y,IAG,24, ,1,72, , ,N,2, ,160,178,467,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:07:38.005,06/11/2024 13:07:37.799,6,x,x,O,U,U,Y,1547970209,Norm,N,Y,1,27,022-14556979,V, ,Y,IAG,25, ,1,72, , ,N,2, ,144,193,544,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:07:39.711,06/11/2024 13:07:39.483,6,x,x,O,U,U,Y,1547970230,Norm,N,Y,1,28,008-15608419,V, ,Y,IAG,31, ,1,72, , ,N,2, ,188,201,594,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:07:40.900,06/11/2024 13:07:40.616,6,x,x,O,U,U,Y,1547970240,Norm,N,Y,1,27,022-14960933,V, ,Y,IAG,3, ,1,72, , ,N,2, ,172,194,525,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:07:42.680, ,6,x,x,O,U,U,Y,1547971823,Norm,N,Y,1,27,-, , , ,-, , , , , , ,N, , ,263,188,613,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
GB,4,06/11/2024 13:07:42.830,06/11/2024 12:54:59.590,0,x,x,O,E,N,Y,1547968452,Spur,N,Y,8,0,035-16737037,I, ,N,SeGO,1, ,1,8, , ,N, , ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:07:44.272,06/11/2024 13:07:44.095,6,x,x,O,U,U,Y,1547970262,Norm,N,Y,1,27,005-03628316,V,S,Y,IAG,22, ,1,72, , ,N,2, ,186,207,601,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:07:48.213, ,6,x,x,O,U,U,Y,1547971855,Norm,N,Y,1,27,-, , , ,-, , , , , , ,N, , ,153,185,414,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:07:49.963,06/11/2024 13:07:49.812,6,x,x,O,U,U,Y,1547970284,Norm,N,Y,1,27,022-14040533,V, ,Y,IAG,19, ,1,72, , ,N,2, ,167,200,483,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:07:51.736,06/11/2024 13:07:51.305,6,x,x,O,U,U,Y,1547970292,Norm,N,Y,1,27,022-14819964,V, ,Y,IAG,18, ,1,72, , ,N,2, ,171,181,529,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:07:55.167,06/11/2024 13:07:54.881,6,x,x,O,U,U,Y,1547970315,Norm,N,Y,1,23,005-04276178,V, ,Y,IAG,32, ,1,72, , ,N,2, ,172,184,520,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:07:56.839,06/11/2024 13:07:56.728,6,x,x,O,U,U,Y,1547970329,Norm,N,Y,1,23,022-11724763,V, ,Y,IAG,29, ,1,72, , ,N,2, ,150,182,455,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
GWBU,4,06/11/2024 13:07:57.809,06/11/2024 12:56:26.183,0,x,x,O,E,N,Y,1547968580,Spur,N,Y,8,0,004-11896173,U, ,N,IAG,6, ,5,791, , ,N,5, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
GWBU,4,06/11/2024 13:07:57.810,06/11/2024 12:59:19.297,0,x,x,O,E,N,Y,1547968581,Spur,N,Y,8,0,004-13162480,V, ,N,IAG,10, ,5,791, , ,N,5, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
GWBU,4,06/11/2024 13:07:57.810,06/11/2024 12:59:19.429,0,x,x,O,E,N,Y,1547968583,Spur,N,Y,8,0,064-14996132,I, ,N,SeGO,8, ,1,8, , ,N, , ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:08:01.896,06/11/2024 13:08:01.642,6,x,x,O,U,U,Y,1547970354,Norm,N,Y,1,28,005-03239808,V, ,Y,IAG,11, ,1,72, , ,N,2, ,260,209,613,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:08:04.448,06/11/2024 13:08:04.283,6,x,x,O,U,U,Y,1547970376,Norm,N,Y,1,29,004-10825324,V, ,Y,IAG,26, ,1,72, , ,N,2, ,129,170,459,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:08:11.022,06/11/2024 13:08:10.831,6,x,x,O,U,U,Y,1547970423,Norm,N,Y,1,29,022-16388506,B, ,Y,IAG,26, ,1,72, , ,N,2, ,144,191,541,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:08:14.390,06/11/2024 13:08:14.244,6,x,x,O,U,U,Y,1547970440,Norm,N,Y,1,30,008-10299932,V, ,Y,IAG,24, ,1,72, , ,N,2, ,150,179,487,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:08:16.612,06/11/2024 13:08:16.511,6,x,x,O,U,U,Y,1547970456,Norm,N,Y,1,29,008-09997883,V, ,Y,IAG,27, ,1,72, , ,N,2, ,162,182,478,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:08:18.387,06/11/2024 13:08:18.151,6,x,x,O,U,U,Y,1547970473,Norm,N,Y,1,28,022-12065552,V, ,Y,IAG,25, ,1,72, , ,N,2, ,192,197,599,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,2,06/11/2024 13:08:21.223,06/11/2024 12:56:10.836,0,x,x,O,U,U,Y,1547968775,Spur,N,Y,1,0,005-03540781,V,N,N,IAG,3, ,2,523, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:08:21.870,06/11/2024 13:08:21.660,6,x,x,O,U,U,Y,1547970498,Norm,N,Y,1,25,008-14957104,V, ,Y,IAG,18, ,1,72, , ,N,2, ,163,197,463,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:08:26.720,06/11/2024 13:08:26.574,6,x,x,O,U,U,Y,1547970538,Norm,N,Y,1,31,022-11882924,V, ,Y,IAG,32, ,1,72, , ,N,2, ,147,158,442,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:08:32.789,06/11/2024 13:08:32.680,6,x,x,O,U,U,Y,1547970578,Norm,N,Y,1,33,005-03746285,V, ,Y,IAG,24, ,1,72, , ,N,2, ,138,183,507,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:08:56.919,06/11/2024 13:08:56.833,6,x,x,O,U,U,Y,1547970793,Norm,N,Y,1,32,005-04715918,V, ,Y,IAG,25, ,1,72, , ,N,2, ,155,173,457,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:09:01.210, ,6,x,x,O,U,U,Y,1547972506,Norm,N,Y,1,29,-, , , ,-, , , , , , ,N, , ,272,194,666,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:09:02.649,06/11/2024 13:09:02.373,6,x,x,O,U,U,Y,1547970909,Norm,N,Y,1,30,022-11683270,V, ,Y,IAG,23, ,1,72, , ,N,2, ,190,211,609,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:09:04.609,06/11/2024 13:09:04.469,6,x,x,O,U,U,Y,1547970924,Norm,N,Y,1,28,022-10361989,V, ,Y,IAG,29, ,1,72, , ,N,2, ,138,184,494,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:09:06.036,06/11/2024 13:09:05.890,6,x,x,O,U,U,Y,1547970934,Norm,N,Y,1,28,022-09150483,V, ,Y,IAG,30, ,1,72, , ,N,2, ,136,186,501,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:09:08.017, ,6,x,x,O,U,U,Y,1547972557,Norm,N,Y,1,27,-, , , ,-, , , , , , ,N, , ,146,197,539,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:09:10.796,06/11/2024 13:09:10.635,6,x,x,O,U,U,Y,1547970961,Norm,N,Y,1,28,021-05158514,V, ,Y,IAG,26, ,1,72, , ,N,2, ,164,179,452,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,2,06/11/2024 13:09:12.086, ,6,x,x,O,U,U,Y,1547972616,Norm,N,Y,1,18,-, , , ,-, , , , , , ,N, , ,188,206,573,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:09:13.082, ,6,x,x,O,U,U,Y,1547972619,Norm,N,Y,1,24,-, , , ,-, , , , , , ,Y, , ,319,259,912,0,4,4, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:09:16.318,06/11/2024 13:09:16.122,6,x,x,O,U,U,Y,1547971010,Norm,N,Y,1,22,008-13482192,V, ,Y,IAG,33, ,1,72, , ,N,2, ,159,181,453,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:09:19.395, ,6,x,x,O,U,U,Y,1547972678,Norm,N,Y,1,23,-, , , ,-, , , , , , ,N, , ,234,194,595,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 13:09:20.956,06/11/2024 13:09:20.654,6,x,x,O,U,U,Y,1547971042,Norm,N,Y,1,20,008-13870070,V, ,Y,IAG,23, ,1,72, , ,N,2, ,171,190,518,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
